type,title,ingredients,oven_temp,directions,notes_on_texture,link,equipment_needed,flour_ratio,sugar_ratio,Butter_ratio,cleaned_texture,texture_category
Brownie,Best Brownie Recipe (Once Upon A Chef),"2 sticks unsalted butter (¬Ω pound), 8 oz bittersweet or semisweet chocolate (roughly chopped), 4 large eggs, ¬Ω tsp salt, 1 cup granulated sugar, 1 cup firmly packed dark brown sugar, 2 tsp vanilla extract, 1 cup all-purpose flour",350 F,"1. Preheat oven to 350¬∞F. Line a 13√ó9√ó2-inch pan with parchment paper and grease with butter or cooking spray.
2. Melt butter in the microwave. Add chopped chocolate and whisk until melted. If needed, heat for 20 more seconds and whisk again.
3. In a large bowl, whisk eggs, salt, sugars, and vanilla until smooth. Stir in the chocolate-butter mixture, then whisk in flour until uniform.
4. Pour batter into the prepared pan and bake for about 45 minutes, until a shiny crust forms. Cool completely on a rack.
5. Lift Brownies out using the parchment overhang, trim the edges, and cut into squares.",Shiny crust with a fudgy center,https://www.onceuponachef.com/recipes/best-Brownie-recipe.html,"13√ó9√ó2-inch pan, parchment paper, whisk, microwave-safe bowl",1,2,2,Shiny crust with a fudgy center,"gooey,creamy"
Brownie,Rich Fudgy Brownies (Celebrating Sweets),"¬Ω cup melted unsalted butter, 1 cup granulated sugar, 2 large eggs, 2 tbsp water, 2 tsp vanilla extract, ‚Öî cup unsweetened cocoa powder, ‚Öî cup powdered sugar, ¬æ cup all-purpose flour, ¬Ω tsp kosher salt, 1 cup chocolate chips",350 F,"1. Preheat oven to 350¬∞F. Line an 8√ó8 or 9√ó9 pan with parchment paper or foil, leaving overhang on two sides for easy removal.
2. Combine granulated sugar and hot butter in a large bowl. Let sit for 5 minutes, then whisk for 30 seconds.
3. Whisk in eggs, water, and vanilla extract. Stir in cocoa powder, powdered sugar, flour, and salt until glossy and well combined.
4. Stir in chocolate chips. Pour batter into the prepared pan and smooth the top.
5. Bake for 28-33 minutes for an 8√ó8 pan, or 18-23 minutes for a 9√ó9 pan, until a toothpick inserted just outside the center comes out with moist crumbs.
6. Cool completely in the pan on a wire rack before serving.","Rich and fudgy with a shiny, crackly crust",https://celebratingsweets.com/rich-fudgy-Brownies/,"8√ó8 or 9√ó9 pan, parchment paper, whisk, spatula",3,4,2,Rich and fudgy with a shiny crackly crust,"gooey,creamy"
Brownie,Mmmmm Brownies (AllRecipes),"¬Ω cup white sugar, 2 tbsp butter, 2 tbsp water, 1¬Ω cups semisweet chocolate chips, 2 large eggs (beaten), ¬Ω tsp vanilla extract, ‚Öî cup all-purpose flour, ¬Ω tsp salt, ¬º tsp baking soda",325 F,"1. Preheat oven to 325¬∞F. Grease an 8-inch square pan.
2. Combine sugar, butter, and water in a medium saucepan. Cook over medium heat until boiling, then remove from heat and stir in chocolate chips until melted.
3. Stir in beaten eggs and vanilla extract.
4. Combine flour, salt, and baking soda, then stir into the chocolate mixture.
5. Spread the batter into the prepared pan and bake for 20-30 minutes, until the top is dry and the edges pull away from the pan.
6. Let cool completely before cutting into squares.",Smooth and fudgy,https://www.allrecipes.com/recipe/25080/mmmmm-Brownies/,"8-inch square pan, medium saucepan, spatula",1,1,0.25,Smooth and fudgy,"gooey,creamy"
Brownie,Snoop Dogg's Bow Wow Brownies (12 Tomatoes),"‚Öî cup all-purpose flour, ¬º tsp baking soda, ¬Ω tsp salt, ¬Ω cup granulated sugar, 3 tbsp unsalted butter, 2 tbsp whole milk, 2¬Ω cups milk chocolate morsels, 2 large eggs, ¬Ω tsp vanilla extract",325 F,"1. Preheat oven to 325¬∞F. Butter an 8-inch square baking pan and set aside.
2. In a small bowl, whisk together flour, baking soda, and salt. Set aside.
3. In a medium saucepan, stir together sugar, butter, and milk over medium heat. Bring to a boil, then remove from heat and stir in 1¬Ω cups chocolate morsels until melted.
4. Stir in eggs and vanilla extract until smooth.
5. Gradually add flour mixture to the melted chocolate, stirring until just combined. Spread batter in prepared pan and sprinkle remaining 1 cup chocolate morsels on top.
6. Bake for 25-30 minutes, rotating pan halfway through. Cool completely on a wire rack before cutting into squares.",Rich and chocolatey,https://12tomatoes.com/snoop-doggs-bow-wow-Brownies/,"8-inch square baking pan, saucepan, whisk",2,1,0.5,Rich and chocolatey,creamy
Brownie,The Very Best Brownies (Cookie and Kate),"10 tbsp unsalted butter, 1¬º cups cane sugar, ¬æ cup unsweetened cocoa powder, ¬Ω tsp fine sea salt, ¬º tsp baking powder, ¬Ω tsp espresso powder (optional), 2 cold large eggs, 1¬Ω tsp vanilla extract, ‚Öî cup white whole wheat flour, 2 oz dark or semi-sweet chocolate (roughly chopped) or ‚Öì cup chocolate chips",325 F,"1. Preheat oven to 325¬∞F. Line an 8-inch square pan with parchment paper and grease the paper.
2. Brown the butter in a saucepan over medium heat, whisking constantly until golden brown.
3. Remove from heat and stir in sugar, cocoa powder, salt, baking powder, and espresso powder. Let cool for 5 minutes.
4. Add eggs one at a time, beating vigorously after each addition. Stir in vanilla and flour, then beat for 50 strokes.
5. Fold in chocolate chunks or chips. Spread batter in the pan and bake for about 25 minutes.
6. Cool completely before cutting into squares.","Thick, shiny, and well-blended with a fudgy texture",https://cookieandkate.com/the-very-best-Brownies/,"8-inch square baking pan, saucepan, parchment paper, whisk, spatula",2,4,3,Thick shiny and wellblended with a fudgy texture,"gooey,creamy"
Brownie,Perfect Crinkly Shiny Brownies (Displaced Housewife),"1¬Ω cups dark chocolate (255g, finely chopped), 12 tbsp unsalted butter (170g), 1 cup unsweetened dark cocoa powder (85g), 4 large eggs (room temp), 1 cup granulated sugar (200g), ¬æ cup light brown sugar (165g), 1 tbsp brewed espresso (or 1 tsp espresso powder), 1 tbsp vanilla extract, 1 tsp sea salt, 1 cup all-purpose flour (135g), 2 tsp sea salt flakes (optional)",350 F,"1. Preheat oven to 350¬∞F. Grease a 9√ó13-inch baking dish and line with parchment paper.
2. In a heat-safe bowl, melt chocolate, butter, and cocoa powder over a medium saucepan of simmering water. Stir until smooth, then set aside.
3. In a stand mixer, whisk eggs, sugars, espresso, vanilla, and sea salt for 5-7 minutes until thick and light.
4. Add the melted chocolate to the egg mixture and mix on low for 30 seconds. Fold in the flour until just combined.
5. Pour the batter into the prepared dish, sprinkle with sea salt flakes if using, and bake for 25-27 minutes.
6. Let cool in the pan for several hours before cutting into squares. For extra fudgy Brownies, chill in the fridge before serving.","Crinkly top and fudgy texture, especially when chilled",https://www.displacedhousewife.com/perfect-crinkly-shiny-Brownies/,"9√ó13-inch baking dish, parchment paper, stand mixer, heat-safe bowl",3,5,4,Crinkly top and fudgy texture especially when chilled,"gooey,creamy"
Brownie,Fudgy Brownies with Crackly Tops (Cake Whiz),"‚Öî cup all-purpose flour, 1 cup granulated sugar, ¬Ω cup + 2 tbsp unsalted butter (room temp), 7 oz melted dark or semisweet chocolate, 1 tbsp cocoa powder, ¬Ω tbsp espresso powder, 2 tbsp warm water, 1 tsp vanilla extract, 2 large eggs",350 F,"1. Cream butter and sugar in a mixing bowl until pale and fluffy.
2. Add eggs and vanilla extract, then mix for 5 minutes.
3. Dissolve espresso powder in warm water, then add to the batter and mix.
4. Add melted chocolate and mix until just combined.
5. In a separate bowl, whisk together flour and cocoa powder, then fold into the batter. Do not overmix.
6. Pour batter into an 8√ó8-inch square pan lined with foil and greased. Spread batter evenly.
7. Bake for 35-40 minutes, until a toothpick comes out with sticky crumbs. Cool completely before cutting into squares.",Fudgy with a crackly top,https://cakewhiz.com/how-to-make-fudgy-Brownies-with-crackly-tops/,"8√ó8-inch square pan, mixing bowl, spatula",1,1.5,1,Fudgy with a crackly top,creamy
Brownie,Crinkle Top Brownies (Half Baked Harvest),"1 cup salted butter, 2 cups semi-sweet chocolate chips, 1¬Ω cups granulated sugar, 1 tbsp vanilla extract, 2 tsp instant coffee granules, 4 large eggs (room temp), ¬Ω cup all-purpose flour, ¬Ω cup unsweetened cocoa powder, 1 tsp baking powder",350 F,"1. Preheat oven to 350¬∞F. Line a 9√ó13-inch pan with parchment paper.
2. Melt butter and 1¬Ω cups chocolate chips in the microwave, stirring at 30-second intervals until smooth.
3. Stir in sugar, vanilla, and instant coffee. Whisk eggs in a small bowl until bubbly, then stir into the chocolate mixture.
4. Add flour, cocoa powder, and baking powder. Stir until just combined, then fold in remaining ¬Ω cup chocolate chips.
5. Spread the mixture into the prepared pan and bake for 28-30 minutes until set. Cool and dust with powdered sugar before serving.",Crinkle top with fudgy interior,https://www.halfbakedharvest.com/crinkle-top-Brownies/,"9√ó13-inch pan, microwave-safe bowl, whisk, spatula",1,3,2,Crinkle top with fudgy interior,"gooey,creamy"
Brownie,Crackle Top Fudge Brownies (South Your Mouth),"1 cup all-purpose flour, 1 cup cocoa powder, 1 tsp salt, 2¬Ω cups sugar, 1 tbsp vanilla extract, 1 tsp espresso powder (optional), 6 large eggs (cold), 1 cup vegetable oil, ¬Ω cup salted butter, 6 oz dark chocolate (finely chopped)",350 F,"1. Preheat oven to 350¬∞F. Line a 13√ó9 metal pan with foil and spray with cooking spray.
2. Sift together flour, cocoa powder, and salt in a mixing bowl.
3. In a stand mixer, whisk sugar, vanilla, espresso powder, and eggs on medium-high for 7-9 minutes until fluffy and light yellow.
4. While mixing eggs, melt vegetable oil and butter over medium-low heat. Stir in dark chocolate until smooth.
5. Reduce mixer speed to low and add melted chocolate mixture. Fold in the sifted flour mixture by hand.
6. Pour batter into the prepared pan and bake for 30-35 minutes until Brownies are mostly firm, or until internal temp reaches 200¬∞F.
7. Cool to room temperature, lift from pan, and cut into squares.","Thick, fudgy, with a crackly top",https://www.southyourmouth.com/2022/06/crackle-top-fudge-Brownies.html,"13√ó9 metal pan, foil, stand mixer, saucepan",2,2.5,0.5,Thick fudgy with a crackly top,"gooey,creamy"
Brownie,Best Chewy Fudgy Brownies (A Sassy Spoon),"¬Ω cup unsalted butter, 4 oz chopped chocolate or chocolate chips, 1¬º cups granulated sugar, 3 large eggs (room temp), 1 tsp vanilla extract, ¬Ω cup all-purpose flour, 3 tbsp Dutch process cocoa powder, ¬Ω tsp salt",350 F,"1. Preheat oven to 350¬∞F. Line an 8√ó8 baking dish with parchment paper and spray with nonstick spray.
2. Melt butter and chocolate in 30-second increments in the microwave or in a double boiler. Let cool.
3. Vigorously beat eggs and sugar until light and fluffy (about 5 minutes), then stir in melted chocolate and vanilla.
4. Fold in flour, cocoa powder, and salt. Pour the batter into the prepared dish.
5. Bake for 30 minutes or until edges are baked through and a toothpick inserted comes out semi-wet. Cool completely before slicing.",Chewy and fudgy with a crackly top,https://asassyspoon.com/best-chewy-fudgy-Brownies/,"8√ó8 baking dish, parchment paper, stand mixer, microwave or double boiler",3,2.5,1,Chewy and fudgy with a crackly top,"gooey,creamy"
Brownie,Chewy Chocolate Brownies (Baking with Butter),"¬Ω cup butter, ¬Ω cup semisweet chocolate, ¬æ cup granulated sugar, ¬º cup soft brown sugar, 1 tsp vanilla extract, 2 large eggs, ‚Öì cup unsweetened cocoa powder, ¬Ω cup all-purpose flour, ¬º tsp salt",350 F,"1. Preheat oven to 350¬∞F and grease or line an 8√ó8 inch pan with parchment paper.
2. Melt butter and chocolate in a saucepan over low-medium heat. Stir in sugars while hot.
3. Whisk in eggs one at a time for at least a minute, followed by salt and vanilla extract.
4. Sift in cocoa and flour, stirring to combine into a glossy batter. Pour batter into the prepared pan.
5. Bake for 28-32 minutes until a knife comes out with moist crumbs. Cool completely before slicing.","Chewy with a glossy, moist center",https://bakingwithbutter.com/chewy-chocolate-Brownies/,"8√ó8 inch square pan, parchment paper, saucepan, whisk",1,2,0.75,Chewy with a glossy moist center,"gooey,moist,creamy"
Brownie,Ultimate Crinkle Brownies (Tutti Dolci),"¬æ cup all-purpose flour (105g), ¬º cup Dutch process cocoa (24g), ¬º tsp salt (1.5g), ¬Ω cup unsalted butter (112g, cubed), 6 oz semisweet chocolate (168g, finely chopped), ¬Ω cup granulated sugar (100g), ¬Ω cup light brown sugar (92g), 2 large eggs (100g), 1 large egg yolk (18g), 1¬Ω tsp vanilla extract (6g), 1 cup semisweet chocolate chips (170g)",350 F,"1. Preheat oven to 350¬∞F. Line an 8-inch square metal pan with parchment paper.
2. Whisk together flour, cocoa, and salt in a bowl. Melt butter and chocolate in a double boiler until smooth.
3. Remove from heat and whisk in sugars. Whisk in eggs and yolk, one at a time. Stir in vanilla extract.
4. Fold in the flour mixture and chocolate chips. Pour the batter into the prepared pan and smooth the top.
5. Bake for 25-26 minutes, until a toothpick comes out with a few moist crumbs. Cool completely before cutting into squares.","Crinkly top, fudgy texture",https://tutti-dolci.com/ultimate-crinkle-Brownies/,"8-inch square metal baking pan, parchment paper, whisk, spatula, double boiler",1,2,1,Crinkly top fudgy texture,"gooey,creamy"
Brownie,Crinkle Top Brownies (Bigger Bolder Baking),"1 cup butter (225g, melted), 2 tbsp vegetable oil, 1 cup + 2 tbsp dark brown sugar (177g), 1 cup + 2 tbsp white sugar (227g), 4 large eggs (room temp), 4 tsp vanilla extract, 1 cup all-purpose flour (142g), 1 cup unsweetened cocoa powder (115g), 1 tsp salt, 1¬Ω cups bittersweet chocolate (255g, roughly chopped)",350 F,"1. Preheat oven to 350¬∞F. Butter and line an 8√ó8 inch baking tray with parchment paper.
2. Combine melted butter, oil, and both sugars in a large bowl.
3. Whisk eggs in a separate bowl, then add to the wet ingredients. Mix until just combined.
4. Add vanilla and salt, whisk for about a minute. Sift in flour and cocoa powder, fold until just combined.
5. Fold in half of the chocolate chunks. Pour batter into the pan, smooth the top, and add remaining chocolate chunks.
6. Bake for 45-50 minutes until the center is set and the Brownies no longer jiggle. Cool before slicing.","Crinkle top, fudgy center with chocolate chunks",https://www.biggerbolderbaking.com/crinkle-top-Brownies/,"8√ó8 inch baking tray, parchment paper, mixing bowl, whisk",2,4,2,Crinkle top fudgy center with chocolate chunks,"gooey,creamy"
Vegan Brownie,Best Fudgy Brownies (Dairy-Free) (The Cookie Dough Diaries),"¬æ cup butter (dairy-free or regular, melted), ¬æ cup light brown sugar, 1 cup granulated sugar, 2 eggs, 1 tbsp vanilla extract, ¬æ cup cocoa powder, ¬º tsp salt, ¬Ω cup + 2 tbsp all-purpose flour",350 F,"1. Preheat oven to 350¬∞F and line an 8√ó8 inch baking pan with parchment paper.
2. Melt butter in the microwave or on the stove, then transfer to a bowl.
3. Whisk in sugars until mixture resembles a paste that pulls cleanly from the sides of the bowl.
4. Add eggs and vanilla, mix well. Add dry ingredients (cocoa, salt, flour) and whisk until just combined.
5. Pour batter into prepared pan and bake for 30-40 minutes, until a toothpick comes out with wet crumbs.
6. Cool completely before slicing.",Crinkly top and fudgy texture,https://thecookiedoughdiaries.com/best-fudgy-Brownies-dairy-free/,"8√ó8 inch square pan, parchment paper, whisk, mixing bowl",1,3,1.5,Crinkly top and fudgy texture,"gooey,creamy"
Vegan Brownie,Dairy-Free Brownies (Life Made Simple Bakes),"¬æ cup refined coconut oil or canola oil, ¬æ cup granulated sugar, ¬Ω cup packed brown sugar, 1 tsp vanilla extract, 2 large eggs + 1 yolk, ‚Öî cup cocoa powder (sifted), ¬Ω cup all-purpose flour, ¬Ω tsp coarse sea salt, ¬º tsp baking powder, ¬º tsp espresso powder (optional), ¬Ω cup dairy-free chocolate chips or chopped dairy-free chocolate",350 F,"1. Preheat oven to 350¬∞F. Line an 8√ó8 inch metal baking pan with parchment paper.
2. In a mixing bowl, combine oil, sugars, and vanilla. Mix on medium speed for 1 minute.
3. Add eggs and yolk one at a time, mixing after each addition. Mix for 30 seconds, rest for 3 minutes, then repeat two more times.
4. Whisk together cocoa powder, flour, salt, baking powder, and espresso powder. Add dry ingredients and chopped chocolate to wet mixture, mixing until combined.
5. Pour batter into the pan and bake for 25-35 minutes until a toothpick comes out with a few moist crumbs. Cool before slicing.",Rich and fudgy with dairy-free chocolate,https://lifemadesimplebakes.com/dairy-free-Brownies/,"8√ó8 inch metal baking pan, parchment paper, stand mixer or handheld mixer",1.5,2.5,3,Rich and fudgy with dairyfree chocolate,"gooey,creamy"
Vegan Brownie,Dairy-Free Brownies (Chenee Today),"¬æ cup vegetable oil, 3 large eggs (room temp), 2 tsp vanilla extract, ¬Ω cup granulated sugar, 1 cup packed brown sugar, ¬æ cup unsweetened cocoa powder, ¬æ cup all-purpose flour, ¬Ω tsp espresso powder (optional), 1 tsp salt, 1 cup dairy-free chocolate chips or chunks",350 F,"1. Preheat oven to 350¬∞F. Grease a 9√ó9 inch baking pan and line with parchment paper.
2. Whisk together oil and sugars in a large bowl until combined.
3. Add eggs and vanilla, beating for 1 minute until smooth and thick.
4. Sift cocoa powder, flour, espresso powder, and salt into the bowl and fold until just combined.
5. Fold in chocolate chips and pour batter into the prepared pan. Smooth to edges and top with more chocolate chips.
6. Bake for 25-30 minutes until the center is set. Cool in pan for 20 minutes, then transfer to a wire rack.",Gooey and fudgy with dairy-free chocolate,https://cheneetoday.com/dairy-free-Brownies/,"9√ó9 inch baking pan, whisk, measuring cups and spoons, parchment paper, cooling rack, rubber spatula, food scale",1,2,2,Gooey and fudgy with dairyfree chocolate,"gooey,creamy"
Gluten Free Brownie,Dairy-Free Classic Chocolate Brownies (Eight Forest Lane),"¬Ω cup dairy-free butter (melted), ¬æ cup brown sugar, 1 tsp vanilla extract, 2 eggs, ¬Ω cup cocoa powder, ¬Ω cup plain flour (gluten-free or regular), ¬º cup dairy-free chocolate chips, ¬º cup chopped nuts (hazelnuts or walnuts)",350 F,"1. Preheat oven to 180¬∞C. Line a 20cm square baking pan with baking paper.
2. Whisk eggs and vanilla in a large bowl until frothy. Whisk in melted butter and brown sugar.
3. Sift in cocoa powder and flour, mixing until completely combined. Fold in chocolate chips and nuts.
4. Pour the mixture into the prepared pan and bake for 15-20 minutes until set in the middle. Cool before slicing.","Thick, fudgy texture with chocolate chips and nuts",https://eightforestlane.com/dairy-free-classic-chocolate-Brownies/,"20cm square baking pan, whisk, baking paper, spatula",2,1.5,2,Thick fudgy texture with chocolate chips and nuts,"gooey,creamy"
Vegan Brownie,Dairy-Free Brownies (Olives N Thyme),"¬æ cup neutral oil (canola, vegetable, or olive), 1¬Ω cups granulated sugar, 2 large eggs (room temp), 1 large egg yolk (room temp), 2 tsp vanilla extract, 1 tsp instant espresso powder, ¬º tsp salt, ¬Ω cup Dutch process cocoa powder, ¬æ cup all-purpose flour, ¬Ω cup dairy-free chocolate chips or chopped chocolate",350 F,"1. Preheat oven to 350¬∞F. Line an 8√ó8 inch pan with parchment paper.
2. Heat oil and sugar in a microwave-safe bowl for 1 minute, stirring in between. The sugar should feel smoother after heating.
3. Once warm, mix in the eggs and yolk until well combined.
4. Mix in vanilla, espresso powder, cocoa powder, and salt.
5. Stir in flour until just combined. Fold in chocolate chips.
6. Pour batter into prepared pan and bake for 25-35 minutes. Cool for 30 minutes before slicing.","Rich, fudgy Brownies with dairy-free chocolate and espresso notes",https://olivesnthyme.com/dairy-free-Brownies/,"8√ó8 inch pan, parchment paper, mixing bowl, spoon or flexible spatula",3,2,1.5,Rich fudgy Brownies with dairyfree chocolate and espresso notes,"gooey,creamy"
Gluten Free Brownie,Gluten-Free Dairy-Free Refined Sugar-Free Brownies (Salted Plains),"8 oz dairy-free dark or semi-sweet chocolate chips, 8 tbsp coconut oil, 3 eggs (room temp), ¬Ω cup unsweetened cocoa powder, ¬Ω cup almond flour, 1 cup coconut sugar, ¬Ω tsp salt, ¬º tsp baking soda, 1 tsp vanilla extract, sea salt (optional)",350 F,"1. Preheat oven to 350¬∞F. Grease an 11√ó7 inch glass baking pan with coconut oil and line the bottom with parchment paper.
2. Melt chocolate and coconut oil in a microwave-safe bowl in 30-second intervals. Stir and set aside.
3. In a small bowl, beat eggs. In a large bowl, whisk together all dry ingredients.
4. Add eggs, melted chocolate, and vanilla to the dry ingredients. Stir until the batter is smooth and glossy.
5. Pour batter into prepared pan, sprinkle with sea salt if desired, and bake for 26-29 minutes. Cool completely before slicing.","Fudgy Brownies with no refined sugar, gluten-free, and dairy-free",https://saltedplains.com/gluten-free-Brownies-dairy-free-refined-sugar-free/,"11√ó7 inch glass baking pan, parchment paper, mixing bowls, whisk, spatula",1,3,2.5,Fudgy Brownies with no refined sugar glutenfree and dairyfree,creamy
Vegan Brownie,Dairy-Free Gooey Brownies (The Taste of Kosher),"1 cup white sugar, ¬Ω cup cocoa powder, ¬º cup all-purpose flour, ¬º tsp salt, 2 eggs, ¬º cup oil, 2 tbsp water, ¬Ω tbsp vanilla, Optional: ¬Ω cup walnuts (chopped), ¬º cup dairy-free dark chocolate chips",325 F,"1. Preheat oven to 325¬∞F (165¬∞C). Line an 8√ó8 inch baking pan with parchment paper.
2. Whisk together sugar, cocoa, flour, and salt in a mixing bowl.
3. Add eggs, oil, water, and vanilla. Mix until smooth (the batter will be runny).
4. Mix in optional additions (walnuts or chocolate chips) if desired.
5. Pour batter into the prepared pan and bake for 30 minutes or until a toothpick comes out almost clean.",Gooey and fudgy with optional walnuts or chocolate chips,https://www.thetasteofkosher.com/dairy-free-gooey-Brownies/,"8√ó8 inch baking pan, whisk, mixing bowl, parchment paper",0.5,4,2,Gooey and fudgy with optional walnuts or chocolate chips,"gooey,creamy"
Vegan Brownie,Dairy-Free Brownies (Savor the Spoonful),"¬æ cup melted coconut oil, ¬æ cup packed brown sugar, 1 cup granulated sugar, 2 eggs, 2 tsp vanilla extract, ‚Öî cup all-purpose flour, ¬æ cup cocoa powder, ¬Ω tsp salt",350 F,"1. Preheat oven to 350¬∞F. Line an 8√ó8-inch aluminum baking pan with parchment paper.
2. In a large mixing bowl, whisk together melted coconut oil, brown sugar, and granulated sugar until it resembles a paste.
3. Whisk in the eggs and vanilla extract until smooth.
4. Add in the flour, cocoa powder, and salt. Whisk until just combined, being careful not to over-mix.
5. Spread the batter into the prepared pan and bake for 30-40 minutes. Cool before slicing.","Fudgy with a crinkly top, dairy-free with coconut oil",https://www.savorthespoonful.com/dairy-free-Brownies/,"8√ó8 inch baking pan, parchment paper, large mixing bowl, whisk",0.75,3,1,Fudgy with a crinkly top dairyfree with coconut oil,creamy
Vegan Brownie,Dairy-Free Brownies (Chelsweets),"2 large eggs (room temp), 1 cup granulated sugar, ¬Ω cup flavorless oil, 2 tsp vanilla extract, ¬Ω tsp fine salt, ¬Ω cup all-purpose flour, ‚Öì cup unsweetened cocoa powder, ¬º tsp baking powder, Optional: ¬Ω cup dairy-free chocolate chips or chunks, ¬Ω cup chopped nuts",350 F,"1. Preheat oven to 350¬∞F. Line an 8√ó8 inch baking sheet with parchment paper.
2. Mix the eggs on high speed for 30 seconds until foamy. Add sugar and mix for 1 minute until creamy.
3. Mix in oil, vanilla, and salt. Sift in flour, cocoa, and baking powder.
4. Fold the dry ingredients into the wet ingredients until combined. Optional: fold in chocolate chips or nuts.
5. Pour batter into the prepared pan and bake for 22-25 minutes. Cool before cutting.",Thick and fudgy with optional mix-ins like chocolate chunks or nuts,https://chelsweets.com/dairy-free-Brownies/,"8√ó8 inch baking sheet, parchment paper, whisk or hand mixer, rubber spatula",1,3,2,Thick and fudgy with optional mixins like chocolate chunks or nuts,"gooey,creamy"
Vegan Brownie,Dairy-Free Brownies (Rich and Delish),"¬æ cup vegetable oil, 1¬Ω cups granulated sugar, 1 tsp vanilla extract, 2 eggs, 1 egg yolk, ¬Ω tsp kosher salt, ‚Öì cup cocoa powder, ¬Ω tsp espresso powder, 7.05 oz dark or semisweet chocolate (melted), ¬æ cup flour",350 F,"1. Preheat oven to 350¬∞F and line an 8x8 inch baking pan with parchment paper.
2. In a large mixing bowl, whisk together sugar, oil, eggs, egg yolk, salt, espresso powder, and vanilla. Sift in the cocoa powder and mix.
3. Add the melted chocolate and mix well.
4. Fold in the flour until just combined. Do not over-mix.
5. Pour batter into the prepared pan and bake for 30 minutes or until the top is crinkly. Let cool before slicing.",Fudgy and moist with a crinkly top,https://richanddelish.com/dairy-free-Brownies/,"8x8 inch baking pan, parchment paper, mixing bowl, whisk",2,2,1,Fudgy and moist with a crinkly top,"gooey,moist,creamy"
Vegan Brownie,Dairy-Free Brownies (Whole Kitchen Sink),"¬æ cup oil or melted dairy-free butter, ¬æ cup white sugar, ¬æ cup brown sugar, 2 eggs, 2 tbsp honey, 1 tbsp vanilla extract, ¬æ cup cocoa powder, ‚Öî cup flour, ¬º tsp salt",350 F,"1. Preheat oven to 350¬∞F and line an 8x8 inch baking dish with parchment paper.
2. In a large mixing bowl, whisk oil (or melted butter) with white and brown sugar until the mixture is paste-like.
3. Add eggs, honey, and vanilla extract, and mix until smooth.
4. Sift in cocoa powder, flour, and salt, and mix until just combined.
5. Pour the batter into the prepared dish and bake for 30-35 minutes. Cool before slicing.","Chewy and fudgy with rich chocolate flavor, dairy-free",https://www.wholekitchensink.com/dairy-free-Brownies/,"8x8 inch baking dish, parchment paper, mixing bowl, whisk",3,3,2,Chewy and fudgy with rich chocolate flavor dairyfree,"gooey,creamy,rich"
Vegan Brownie,Dairy-Free Brownies (The Salted Sweets),"1 cup all-purpose flour, ‚Öî cup cocoa powder, ¬æ tsp salt, 1 tsp baking powder, ¬Ω cup neutral or coconut oil, 1 cup granulated sugar, ¬Ω cup brown sugar, 2 large eggs, 1 tbsp vanilla extract, ¬Ω cup dairy-free chocolate chips (optional), flaked salt for topping",325 F,"1. Preheat oven to 325¬∞F and line an 8x8 pan with parchment paper and spray with cooking spray.
2. In a medium bowl, whisk together flour, cocoa powder, salt, and baking powder. Set aside.
3. In another bowl, mix oil, both sugars, eggs, and vanilla until light and smooth.
4. Whisk in the dry ingredients and fold in chocolate chips if using.
5. Pour batter into the prepared pan, smooth the top, and bake for 25-30 minutes. Sprinkle with flaked salt. Let cool completely before serving.",Chewy and rich with a slight crunch from flaked sea salt,https://thesaltedsweets.com/dairy-free-Brownies/,"8x8 inch baking pan, parchment paper, mixing bowls, whisk, spatula",2.5,3,2,Chewy and rich with a slight crunch from flaked sea salt,"gooey,light and fluffy,creamy,rich"
